,CancelType,CleanupType,ExecutionStarted,CancelRegistered,CancelInitiated,ExecutionFinished,CancelDelayMs,ExecutionTimeMs
590,AtomicEnum,Exception,1754075901931290327,,,1754075927767259105,,25835.968778
591,AtomicEnum,Exception,1754075927767268991,,,1754075954042863780,,26275.594789
592,AtomicEnum,Exception,1754075954042871166,,,1754075980170978330,,26128.107164
593,AtomicEnum,Exception,1754075980170987336,,,1754076006792352034,,26621.364698
594,AtomicEnum,Exception,1754076006792358937,,,1754076033558464242,,26766.105305
595,AtomicEnum,Exception,1754076033558474542,,,1754076060114450758,,26555.976216
596,AtomicEnum,Exception,1754076060114458613,,,1754076086434708638,,26320.250025
597,AtomicEnum,Exception,1754076086434717499,,,1754076112199289884,,25764.572385
598,AtomicEnum,Exception,1754076112199296977,,,1754076138016488847,,25817.19187
599,AtomicEnum,Exception,1754076138016497049,,,1754076163812002281,,25795.505232
1000,FunctionExchange,ErrorReturn,1754076819614377920,,,1754076846970803596,,27356.425676
1001,FunctionExchange,ErrorReturn,1754076846970809692,,,1754076874245638409,,27274.828717
1002,FunctionExchange,ErrorReturn,1754076874245646909,,,1754076901632592304,,27386.945395
1003,FunctionExchange,ErrorReturn,1754076901632596909,,,1754076929013945117,,27381.348208
1004,FunctionExchange,ErrorReturn,1754076929013959348,,,1754076955757213114,,26743.253766
1005,FunctionExchange,ErrorReturn,1754076955757221767,,,1754076982925342588,,27168.120821
1006,FunctionExchange,ErrorReturn,1754076982925351703,,,1754077009575044107,,26649.692404
1007,FunctionExchange,ErrorReturn,1754077009575052421,,,1754077036061936114,,26486.883693
1008,FunctionExchange,ErrorReturn,1754077036061945674,,,1754077062785907973,,26723.962299
1009,FunctionExchange,ErrorReturn,1754077062785917394,,,1754077089785550904,,26999.63351
1010,FunctionExchange,ErrorReturn,1754077089785561752,,,1754077116476753143,,26691.191391
1011,FunctionExchange,ErrorReturn,1754077116476760688,,,1754077143355011058,,26878.25037
1012,FunctionExchange,ErrorReturn,1754077143355019488,,,1754077170019884640,,26664.865152
1013,FunctionExchange,ErrorReturn,1754077170019891563,,,1754077196535595102,,26515.703539
1014,FunctionExchange,ErrorReturn,1754077196535604508,,,1754077223082321585,,26546.717077
1015,FunctionExchange,ErrorReturn,1754077223082330975,,,1754077249845612499,,26763.281524
1016,FunctionExchange,ErrorReturn,1754077249845621169,,,1754077276496453456,,26650.832287
1017,FunctionExchange,ErrorReturn,1754077276496461805,,,1754077303316602069,,26820.140264
1018,FunctionExchange,ErrorReturn,1754077303316607854,,,1754077330028045554,,26711.4377
1019,FunctionExchange,ErrorReturn,1754077330028051423,,,1754077356514921368,,26486.869945
1020,FunctionExchange,ErrorReturn,1754077356514928616,,,1754077383075337221,,26560.408605
1021,FunctionExchange,ErrorReturn,1754077383075345938,,,1754077409650502702,,26575.156764
1022,FunctionExchange,ErrorReturn,1754077409650510198,,,1754077436284500835,,26633.990637
1023,FunctionExchange,ErrorReturn,1754077436284507629,,,1754077462808000400,,26523.492771
1024,FunctionExchange,ErrorReturn,1754077462808008606,,,1754077490184895403,,27376.886797
1025,FunctionExchange,ErrorReturn,1754077490184906439,,,1754077517541062875,,27356.156436
1026,FunctionExchange,ErrorReturn,1754077517541080113,,,1754077544921652166,,27380.572053
1027,FunctionExchange,ErrorReturn,1754077544921658121,,,1754077572129805165,,27208.147044
1028,FunctionExchange,ErrorReturn,1754077572129810730,,,1754077599535584156,,27405.773426
1029,FunctionExchange,ErrorReturn,1754077599535591727,,,1754077626685407110,,27149.815383
1030,FunctionExchange,ErrorReturn,1754077626685417354,,,1754077653431470490,,26746.053136
1031,FunctionExchange,ErrorReturn,1754077653431476830,,,1754077680038994204,,26607.517374
1032,FunctionExchange,ErrorReturn,1754077680039001696,,,1754077707274750667,,27235.748971
1033,FunctionExchange,ErrorReturn,1754077707274759673,,,1754077733925291620,,26650.531947
1034,FunctionExchange,ErrorReturn,1754077733925300725,,,1754077761031475945,,27106.17522
1035,FunctionExchange,ErrorReturn,1754077761031483945,,,1754077787828042986,,26796.559041
1036,FunctionExchange,ErrorReturn,1754077787828052752,,,1754077815017394455,,27189.341703
1037,FunctionExchange,ErrorReturn,1754077815017404766,,,1754077841799971313,,26782.566547
1038,FunctionExchange,ErrorReturn,1754077841799981566,,,1754077869118947354,,27318.965788
1039,FunctionExchange,ErrorReturn,1754077869118957215,,,1754077895758749142,,26639.791927
1040,FunctionExchange,ErrorReturn,1754077895758757876,,,1754077922312382455,,26553.624579
1041,FunctionExchange,ErrorReturn,1754077922312389638,,,1754077949235311855,,26922.922217
1042,FunctionExchange,ErrorReturn,1754077949235319617,,,1754077976503907499,,27268.587882
1043,FunctionExchange,ErrorReturn,1754077976503913646,,,1754078003808740440,,27304.826794
1044,FunctionExchange,ErrorReturn,1754078003808750660,,,1754078030973366428,,27164.615768
1045,FunctionExchange,ErrorReturn,1754078030973374515,,,1754078057819854086,,26846.479571
1046,FunctionExchange,ErrorReturn,1754078057819861525,,,1754078084509116022,,26689.254497
1047,FunctionExchange,ErrorReturn,1754078084509128654,,,1754078111859401905,,27350.273251
1048,FunctionExchange,ErrorReturn,1754078111859407331,,,1754078139213677643,,27354.270312
1049,FunctionExchange,ErrorReturn,1754078139213684619,,,1754078165906857625,,26693.173006
1050,FunctionExchange,ErrorReturn,1754078165906866623,,,1754078193295151536,,27388.284913
1051,FunctionExchange,ErrorReturn,1754078193295161812,,,1754078220083937295,,26788.775483
1052,FunctionExchange,ErrorReturn,1754078220083944096,,,1754078246697674040,,26613.729944
1053,FunctionExchange,ErrorReturn,1754078246697680919,,,1754078273304815162,,26607.134243
1054,FunctionExchange,ErrorReturn,1754078273304824038,,,1754078300422841916,,27118.017878
1055,FunctionExchange,ErrorReturn,1754078300422851679,,,1754078327559489500,,27136.637821
1056,FunctionExchange,ErrorReturn,1754078327559497157,,,1754078354619262456,,27059.765299
1057,FunctionExchange,ErrorReturn,1754078354619271271,,,1754078381245447444,,26626.176173
1058,FunctionExchange,ErrorReturn,1754078381245455758,,,1754078408414313453,,27168.857695
1059,FunctionExchange,ErrorReturn,1754078408414323136,,,1754078435711161454,,27296.838318
1060,FunctionExchange,ErrorReturn,1754078435711167277,,,1754078463131785403,,27420.618126
1061,FunctionExchange,ErrorReturn,1754078463131794567,,,1754078490088192104,,26956.397537
1062,FunctionExchange,ErrorReturn,1754078490088198824,,,1754078516810865693,,26722.666869
1063,FunctionExchange,ErrorReturn,1754078516810876009,,,1754078544173436778,,27362.560769
1064,FunctionExchange,ErrorReturn,1754078544173444008,,,1754078571516978299,,27343.534291
1065,FunctionExchange,ErrorReturn,1754078571516985011,,,1754078598881397520,,27364.412509
1066,FunctionExchange,ErrorReturn,1754078598881401788,,,1754078626060827945,,27179.426157
1067,FunctionExchange,ErrorReturn,1754078626060836838,,,1754078652760926236,,26700.089398
1068,FunctionExchange,ErrorReturn,1754078652760940341,,,1754078679506075458,,26745.135117
1069,FunctionExchange,ErrorReturn,1754078679506083354,,,1754078706269892485,,26763.809131
1070,FunctionExchange,ErrorReturn,1754078706269900379,,,1754078733049643026,,26779.742647
1071,FunctionExchange,ErrorReturn,1754078733049650034,,,1754078760391463748,,27341.813714
1072,FunctionExchange,ErrorReturn,1754078760391471499,,,1754078787669789353,,27278.317854
1073,FunctionExchange,ErrorReturn,1754078787669795053,,,1754078815007503147,,27337.708094
1074,FunctionExchange,ErrorReturn,1754078815007510760,,,1754078842113759106,,27106.248346
1075,FunctionExchange,ErrorReturn,1754078842113770030,,,1754078868778840825,,26665.070795
1076,FunctionExchange,ErrorReturn,1754078868778849310,,,1754078895554775294,,26775.925984
1077,FunctionExchange,ErrorReturn,1754078895554782294,,,1754078922944005305,,27389.223011
1078,FunctionExchange,ErrorReturn,1754078922944016473,,,1754078950328906172,,27384.889699
1079,FunctionExchange,ErrorReturn,1754078950328915248,,,1754078977704238124,,27375.322876
1080,FunctionExchange,ErrorReturn,1754078977704247314,,,1754079005063009276,,27358.761962
1081,FunctionExchange,ErrorReturn,1754079005063018432,,,1754079032016641948,,26953.623516
1082,FunctionExchange,ErrorReturn,1754079032016646719,,,1754079058781098013,,26764.451294
1083,FunctionExchange,ErrorReturn,1754079058781106089,,,1754079085530349852,,26749.243763
1084,FunctionExchange,ErrorReturn,1754079085530357992,,,1754079112081542039,,26551.184047
1085,FunctionExchange,ErrorReturn,1754079112081551135,,,1754079138762100537,,26680.549402
1086,FunctionExchange,ErrorReturn,1754079138762107099,,,1754079165398904905,,26636.797806
1087,FunctionExchange,ErrorReturn,1754079165398913116,,,1754079192732547035,,27333.633919
1088,FunctionExchange,ErrorReturn,1754079192732556103,,,1754079220141983410,,27409.427307
1089,FunctionExchange,ErrorReturn,1754079220141990915,,,1754079247513428739,,27371.437824
1090,FunctionExchange,ErrorReturn,1754079247513443819,,,1754079274818972702,,27305.528883
1091,FunctionExchange,ErrorReturn,1754079274818979727,,,1754079302124331582,,27305.351855
1092,FunctionExchange,ErrorReturn,1754079302124338546,,,1754079329446130984,,27321.792438
1093,FunctionExchange,ErrorReturn,1754079329446138305,,,1754079356797115194,,27350.976889
1094,FunctionExchange,ErrorReturn,1754079356797122656,,,1754079384106033356,,27308.9107
1095,FunctionExchange,ErrorReturn,1754079384106039953,,,1754079411424749353,,27318.7094
1096,FunctionExchange,ErrorReturn,1754079411424756776,,,1754079438705977723,,27281.220947
1097,FunctionExchange,ErrorReturn,1754079438705987088,,,1754079466052008835,,27346.021747
1098,FunctionExchange,ErrorReturn,1754079466052017450,,,1754079493340670538,,27288.653088
1099,FunctionExchange,ErrorReturn,1754079493340678182,,,1754079520420205535,,27079.527353
1500,FunctionExchange,Exception,1754080176228237319,,,1754080203738636539,,27510.39922
1501,FunctionExchange,Exception,1754080203738645978,,,1754080231235905787,,27497.259809
1502,FunctionExchange,Exception,1754080231235914507,,,1754080258670068501,,27434.153994
1503,FunctionExchange,Exception,1754080258670078654,,,1754080285377297085,,26707.218431
1504,FunctionExchange,Exception,1754080285377304469,,,1754080312508733641,,27131.429172
1505,FunctionExchange,Exception,1754080312508744508,,,1754080340110387449,,27601.642941
1506,FunctionExchange,Exception,1754080340110396082,,,1754080367629282437,,27518.886355
1507,FunctionExchange,Exception,1754080367629290346,,,1754080395162356327,,27533.065981
1508,FunctionExchange,Exception,1754080395162363712,,,1754080422674988609,,27512.624897
1509,FunctionExchange,Exception,1754080422674995666,,,1754080449706317449,,27031.321783
1510,FunctionExchange,Exception,1754080449706326844,,,1754080476425309019,,26718.982175
1511,FunctionExchange,Exception,1754080476425313736,,,1754080503187325044,,26762.011308
1512,FunctionExchange,Exception,1754080503187332842,,,1754080530666777034,,27479.444192
1513,FunctionExchange,Exception,1754080530666787608,,,1754080558276774413,,27609.986805
1514,FunctionExchange,Exception,1754080558276781899,,,1754080585452144025,,27175.362126
1515,FunctionExchange,Exception,1754080585452154798,,,1754080613013615353,,27561.460555
1516,FunctionExchange,Exception,1754080613013628813,,,1754080640450161908,,27436.533095
1517,FunctionExchange,Exception,1754080640450171793,,,1754080667760161092,,27309.989299
1518,FunctionExchange,Exception,1754080667760168518,,,1754080695250300072,,27490.131554
1519,FunctionExchange,Exception,1754080695250307148,,,1754080722723439006,,27473.131858
1520,FunctionExchange,Exception,1754080722723445455,,,1754080750095509279,,27372.063824
1521,FunctionExchange,Exception,1754080750095518127,,,1754080777546708570,,27451.190443
1522,FunctionExchange,Exception,1754080777546718493,,,1754080805134775576,,27588.057083
1523,FunctionExchange,Exception,1754080805134783536,,,1754080832597187704,,27462.404168
1524,FunctionExchange,Exception,1754080832597196109,,,1754080860095839660,,27498.643551
1525,FunctionExchange,Exception,1754080860095846769,,,1754080887161585995,,27065.739226
1526,FunctionExchange,Exception,1754080887161596464,,,1754080914698598568,,27537.002104
1527,FunctionExchange,Exception,1754080914698608779,,,1754080942154030692,,27455.421913
